"key","en","de","fr","ar","es","it"
"Physical device over Wi-Fi","Physical device over Wi-Fi","Physisches Gerät über WLAN","Appareil physique via Wi-Fi","جهاز مادي متصل بشبكة Wi-Fi","Dispositivo físico a través de Wi-Fi","Dispositivo fisico tramite Wi-Fi"
"Pick the transport type that best matches your order.","Pick the transport type that best matches your order.","Wählen Sie die Transportart, die am besten zu Ihrer Bestellung passt.","Choisissez le mode de transport qui correspond le mieux à votre commande.","اختر نوع النقل الذي يناسب طلبك بشكل أفضل.","Seleccione el tipo de transporte que mejor se adapte a su pedido.","Scegli il tipo di trasporto più adatto al tuo ordine."
"Picked Up","Picked Up","Abgeholt","Enlevé","تم الاستلام","Recogido","Ritirato"
"Picked up at","Picked up at","Abgeholt bei","Récupéré à","تم استلامها من","Recogido en","Ritirato alle"
"Pickup","Pickup","Abholung","Enlèvement","الاستلام","Recogida","Ritiro"
"Pickup Date","Pickup Date","Abholdatum","Date de retrait","تاريخ الاستلام","Fecha de recogida","Data di ritiro"
"Pickup Location","Pickup Location","Abholort","Lieu d'enlèvement","موقع الاستلام","Ubicación de recogida","Luogo di ritiro"
"Pickup Proof Photos","Pickup Proof Photos","Abholnachweisfotos","Photos de preuve de ramassage","صور إثبات الاستلام","Fotos que demuestran la recogida","Foto della prova di ritiro"
"Pickup Time","Pickup Time","Abholzeit","Heure de prise en charge","وقت الاستلام","Hora de recogida","Ora di ritiro"
"Pickup Truck","Pickup Truck","Pickup-Truck","Camionnette","شاحنة صغيرة","Camioneta","Pick-up"
"Pickup address","Pickup address","Abholadresse","Adresse de ramassage","عنوان الاستلام","Dirección de recogida","Indirizzo di ritiro"
"Pickup confirmed","Pickup confirmed","Abholung bestätigt","Prise en charge confirmée","تم تأكيد الاستلام","Recogida confirmada","Ritiro confermato"
"Pickup location","Pickup location","Abholort","Lieu de ramassage","موقع الاستلام","Lugar de recogida","Luogo di ritiro"
"Pickup location is missing. Please edit pickup location.","Pickup location is missing. Please edit pickup location.","Der Abholort fehlt. Bitte korrigieren Sie den Abholort.","Le lieu de prise en charge est manquant. Veuillez le modifier.","موقع الاستلام غير موجود. يرجى تعديل موقع الاستلام.","Falta la ubicación de recogida. Por favor, edite la ubicación de recogida.","Il luogo di ritiro è mancante. Modifica il luogo di ritiro."
"Pickup location is missing. Redirecting to pickup step...","Pickup location is missing. Redirecting to pickup step...","Der Abholort fehlt. Weiterleitung zum nächsten Abholschritt…","Lieu de prise en charge introuvable. Redirection vers l'étape de prise en charge...","موقع الاستلام غير موجود. جارٍ إعادة التوجيه إلى خطوة الاستلام...","No se ha encontrado el lugar de recogida. Redireccionando al paso de recogida...","Il luogo di ritiro è mancante. Reindirizzamento alla fase di ritiro..."
"Pickup map","Pickup map","Abholkarte","Carte de ramassage","خريطة الاستلام","Mapa de recogida","Mappa del ritiro"
"Pickup not set","Pickup not set","Abholung nicht festgelegt","Enlèvement non défini","لم يتم تحديد الاستلام","Recogida no establecida","Ritiro non impostato"
"Pickup proof photos will appear after pickup is completed.","Pickup proof photos will appear after pickup is completed.","Die Abholnachweisfotos werden nach Abschluss der Abholung angezeigt.","Des photos confirmant l'enlèvement apparaîtront une fois celui-ci effectué.","ستظهر صور إثبات الاستلام بعد اكتمال عملية الاستلام.","Las fotos que acrediten la recogida aparecerán una vez finalizada la misma.","Le foto della prova di ritiro appariranno una volta completato il ritiro."
"Pickup stage","Pickup stage","Abholphase","Étape de ramassage","مرحلة الاستلام","Etapa de recogida","Fase di ritiro"
"Pickup tracking map is available on iOS and Android only.","Pickup tracking map is available on iOS and Android only.","Die Karte zur Sendungsverfolgung ist nur für iOS und Android verfügbar.","La carte de suivi des prises en charge est disponible uniquement sur iOS et Android.","تتوفر خريطة تتبع الاستلام على iOS و Android فقط.","El mapa de seguimiento de recogidas solo está disponible en iOS y Android.","La mappa di tracciamento del ritiro è disponibile solo su iOS e Android."
"Pickup:","Pickup:","Abholen:","Ramasser:","يلتقط:","Levantar:","Ritiro:"
"Pieces","Pieces","Stücke","Pièces","قِطَع","Piezas","Pezzi"
"Place details did not return coordinates.","Place details did not return coordinates.","Bei den Ortsdetails wurden keine Koordinaten zurückgegeben.","Les détails du lieu n'ont pas renvoyé les coordonnées.","تفاصيل المكان لم تُرجع الإحداثيات.","Los detalles del lugar no devolvieron coordenadas.","I dettagli del luogo non hanno restituito le coordinate."
"Place details request failed.","Place details request failed.","Anfrage der Platzdetails fehlgeschlagen.","La demande de détails du lieu a échoué.","فشل طلب تفاصيل المكان.","La solicitud de detalles del lugar falló.","Richiesta dei dettagli del luogo non riuscita."
"Places autocomplete request failed.","Places autocomplete request failed.","Die Anfrage zur automatischen Vervollständigung von Orten ist fehlgeschlagen.","La requête de saisie automatique des lieux a échoué.","فشل طلب الإكمال التلقائي للأماكن.","La solicitud de autocompletado de lugares falló.","Richiesta di completamento automatico dei luoghi non riuscita."
"Places search failed. Please try again.","Places search failed. Please try again.","Die Suche nach Orten ist fehlgeschlagen. Bitte versuchen Sie es erneut.","La recherche de lieux a échoué. Veuillez réessayer.","فشل البحث عن الأماكن. يرجى المحاولة مرة أخرى.","La búsqueda de lugares falló. Por favor, inténtelo de nuevo.","Ricerca dei luoghi non riuscita. Riprova."
"Please accept the Terms of Service and Privacy Policy to create an account.","Please accept the Terms of Service and Privacy Policy to create an account.","","","","","Accetta i Termini di servizio e l'Informativa sulla privacy per creare un account."
"Please add a valid number of helpers.","Please add a valid number of helpers.","Bitte geben Sie eine gültige Anzahl von Helfern an.","Veuillez ajouter un nombre valide d'assistants.","يرجى إضافة عدد صحيح من المساعدين.","Por favor, indique un número válido de ayudantes.","Inserisci un numero valido di aiutanti."
"Please add at least one furniture photo.","Please add at least one furniture photo.","Bitte fügen Sie mindestens ein Foto der Möbel hinzu.","Veuillez ajouter au moins une photo de meuble.","يرجى إضافة صورة واحدة على الأقل للأثاث.","Por favor, añade al menos una foto de los muebles.","Aggiungi almeno una foto dei mobili."
"Please choose pickup location first. Redirecting...","Please choose pickup location first. Redirecting...","Bitte wählen Sie zuerst den Abholort. Weiterleitung...","Veuillez d'abord choisir un lieu de prise en charge. Redirection en cours...","يرجى اختيار موقع الاستلام أولاً. جارٍ إعادة التوجيه...","Por favor, seleccione primero el lugar de recogida. Redireccionando...","Seleziona prima il luogo di ritiro. Reindirizzamento..."
"Please complete required fields.","Please complete required fields.","Bitte füllen Sie die Pflichtfelder aus.","Veuillez remplir les champs obligatoires.","يرجى تعبئة الحقول المطلوبة.","Por favor, complete los campos obligatorios.","Compila i campi obbligatori."
"Please complete the vehicle details.","Please complete the vehicle details.","Bitte vervollständigen Sie die Fahrzeugdaten.","Veuillez compléter les informations relatives au véhicule.","يرجى استكمال بيانات المركبة.","Por favor, complete los datos del vehículo.","Completa i dettagli del veicolo."
"Please describe the furniture to be transported.","Please describe the furniture to be transported.","Bitte beschreiben Sie die zu transportierenden Möbel.","Veuillez décrire le mobilier à transporter.","يرجى وصف الأثاث المراد نقله.","Por favor, describa los muebles que se van a transportar.","Descrivi i mobili da trasportare."
"Please describe the goods you want to transport.","Please describe the goods you want to transport.","Bitte beschreiben Sie die Güter, die Sie transportieren möchten.","Veuillez décrire les marchandises que vous souhaitez transporter.","يرجى وصف البضائع التي ترغب في نقلها.","Por favor, describa la mercancía que desea transportar.","Descrivi la merce che desideri trasportare."
"Please select a dropoff location first.","Please select a dropoff location first.","Bitte wählen Sie zuerst einen Abgabeort aus.","Veuillez d'abord sélectionner un lieu de dépôt.","يرجى تحديد موقع التسليم أولاً.","Por favor, seleccione primero un lugar de entrega.","Seleziona prima un luogo di consegna."
"Please select a pickup location first.","Please select a pickup location first.","Bitte wählen Sie zuerst einen Abholort aus.","Veuillez d'abord sélectionner un lieu de retrait.","يرجى تحديد موقع الاستلام أولاً.","Por favor, seleccione primero un lugar de recogida.","Seleziona prima un luogo di ritiro."
"Please select a shipment size.","Please select a shipment size.","Bitte wählen Sie eine Versandgröße.","Veuillez sélectionner la taille de l'envoi.","يرجى تحديد حجم الشحنة.","Por favor, seleccione un tamaño de envío.","Seleziona una dimensione della spedizione."
"Please select a valid moving date.","Please select a valid moving date.","Bitte wählen Sie ein gültiges Umzugsdatum.","Veuillez sélectionner une date de déménagement valide.","يرجى اختيار تاريخ نقل صالح.","Por favor, seleccione una fecha válida para la mudanza.","Seleziona una data di trasloco valida."
"Please select the motorcycle condition.","Please select the motorcycle condition.","Bitte wählen Sie den Zustand des Motorrads.","Veuillez sélectionner l'état de la moto.","يرجى تحديد حالة الدراجة النارية.","Seleccione el estado de la motocicleta.","Seleziona le condizioni della moto."
"Please select the motorcycle type.","Please select the motorcycle type.","Bitte wählen Sie den Motorradtyp.","Veuillez sélectionner le type de moto.","يرجى تحديد نوع الدراجة النارية.","Seleccione el tipo de motocicleta.","Seleziona il tipo di moto."
"Please select the vehicle condition.","Please select the vehicle condition.","Bitte wählen Sie den Fahrzeugzustand aus.","Veuillez sélectionner l'état du véhicule.","يرجى تحديد حالة المركبة.","Seleccione el estado del vehículo.","Seleziona le condizioni del veicolo."
"Please try again in a moment.","Please try again in a moment.","Bitte versuchen Sie es in Kürze erneut.","Veuillez réessayer dans un instant.","يرجى المحاولة بعد قليل.","Inténtalo de nuevo en un momento.","Riprova tra qualche istante."
"Please try again.","Please try again.","Bitte versuchen Sie es erneut.","Veuillez réessayer.","يرجى المحاولة مرة أخرى.","Por favor, inténtalo de nuevo.","Riprova."
"Prepare your furniture move","Prepare your furniture move","Bereiten Sie Ihren Möbelumzug vor","Préparez votre déménagement de meubles","جهّز نفسك لنقل أثاثك","Prepara tu mudanza de muebles","Prepara il trasporto dei tuoi mobili"
"Privacy Policy","Privacy Policy","","","","","Informativa sulla privacy"
"Processing…","Processing…","Verarbeitung…","Traitement…","يعالج…","Tratamiento…","Elaborazione…"
"Production","Production","Produktion","Fabrication","الإنتاج","Producción","Produzione"
"Profile","Profile","Profil","Profil","الملف الشخصي","Perfil","Profilo"
"Profile updated successfully.","Profile updated successfully.","Profil erfolgreich aktualisiert.","Profil mis à jour avec succès.","تم تحديث الملف الشخصي بنجاح.","Perfil actualizado correctamente.","Profilo aggiornato con successo."
"Proof photos received:","Proof photos received:","Nachweisfotos erhalten:","Photos de preuve reçues :","تم استلام صور الإثبات:","Fotos de prueba recibidas:","Foto di prova ricevute:"
"Push notification registration is unsupported on this platform.","Push notification registration is unsupported on this platform.","Die Registrierung von Push-Benachrichtigungen wird auf dieser Plattform nicht unterstützt.","L'enregistrement des notifications push n'est pas pris en charge sur cette plate-forme.","تسجيل إشعارات الدفع غير مدعوم على هذا النظام الأساسي.","El registro de notificaciones push no es compatible con esta plataforma.","La registrazione delle notifiche push non è supportata su questa piattaforma."
"Push notification registration requires a physical device.","Push notification registration requires a physical device.","Für die Push-Benachrichtigungsregistrierung ist ein physisches Gerät erforderlich.","L’enregistrement des notifications push nécessite un appareil physique.","يتطلب تسجيل إشعار الدفع جهازًا فعليًا.","El registro de notificaciones push requiere un dispositivo físico.","La registrazione delle notifiche push richiede un dispositivo fisico."
"Push registered: {{token}}...","Push registered: {{token}}...","Push registriert: {{token}}...","Notifications activées : {{token}}...","تم تسجيل الإشعارات: {{token}}...","Notificaciones registradas: {{token}}...","Notifiche push registrate: {{token}}..."
"Rate Driver","Rate Driver","Fahrer bewerten","Évaluer le chauffeur","قيّم السائق","Calificar conductor","Valuta l'autista"
"Rate Service","Rate Service","Tarifdienst","Service de tarification","خدمة الأسعار","Servicio de tarifas","Valuta il servizio"
"Rate driver","Rate driver","Tariftreiber","Moteur de taux","معدل التشغيل","Factor determinante de la tasa","Valuta l'autista"
"Rate your driver","Rate your driver","Bewerten Sie Ihren Fahrer","Évaluez votre chauffeur","قيّم سائقك","Califica a tu conductor","Valuta il tuo autista"
"Rate {{rating}} stars","Rate {{rating}} stars","Bewerten Sie {{rating}} mit Sternen","Évaluer {{rating}} étoiles","قيّم {{rating}} بالنجوم","Califica {{rating}} con estrellas","Valuta {{rating}} stelle"
"Rating is no longer available for this trip. It may already have been submitted.","Rating is no longer available for this trip. It may already have been submitted.","Für diese Reise ist keine Bewertung mehr verfügbar. Sie wurde möglicherweise bereits abgegeben.","L'évaluation de ce voyage n'est plus disponible. Elle a peut-être déjà été soumise.","لم يعد التقييم متاحًا لهذه الرحلة. ربما تم تقديمه بالفعل.","La valoración para este viaje ya no está disponible. Es posible que ya se haya enviado.","La valutazione non è più disponibile per questo trasporto. Potrebbe essere già stata inviata."
"Rating pending","Rating pending","Bewertung ausstehend","Évaluation en attente","التقييم قيد الانتظار","Calificación pendiente","Valutazione in sospeso"
"Ready to book","Ready to book","Bereit zur Buchung","Prêt à réserver","جاهز للحجز","Listo para reservar","Pronto per la prenotazione"
"Realtime chat connection issue.","Realtime chat connection issue.","Problem mit der Echtzeit-Chatverbindung.","Problème de connexion au chat en temps réel.","مشكلة في اتصال الدردشة الفورية.","Problema de conexión con el chat en tiempo real.","Problema di connessione alla chat in tempo reale."
"Realtime chat connection timed out.","Realtime chat connection timed out.","Die Echtzeit-Chatverbindung wurde unterbrochen.","La connexion au chat en temps réel a expiré.","انقطع اتصال الدردشة الفورية.","La conexión de chat en tiempo real ha caducado.","Timeout della connessione alla chat in tempo reale."
"Realtime connected","Realtime connected","Echtzeitverbindung","Connexion en temps réel","متصل في الوقت الفعلي","Conexión en tiempo real","Connesso in tempo reale"
"Realtime connecting…","Realtime connecting…","Echtzeitverbindung…","Connexion en temps réel…","اتصال فوري…","Conexión en tiempo real…","Connessione in tempo reale…"
"Realtime connection issue","Realtime connection issue","Echtzeit-Verbindungsproblem","Problème de connexion en temps réel","مشكلة في الاتصال في الوقت الفعلي","Problema de conexión en tiempo real","Problema di connessione in tempo reale"
"Realtime connection timeout.","Realtime connection timeout.","Echtzeit-Verbindungstimeout.","Délai d'expiration de la connexion en temps réel.","مهلة الاتصال في الوقت الفعلي.","Tiempo de espera de conexión en tiempo real agotado.","Timeout della connessione in tempo reale."
"Realtime disconnected","Realtime disconnected","Echtzeit-Verbindungstrennung","Déconnexion en temps réel","انقطاع الاتصال في الوقت الفعلي","Desconectado en tiempo real","Connessione in tempo reale interrotta"
"Realtime idle","Realtime idle","Echtzeit-Leerlauf","inactivité en temps réel","وضع الخمول في الوقت الحقيقي","Inactividad en tiempo real","Connessione in tempo reale inattiva"
"Realtime unavailable","Realtime unavailable","Echtzeit nicht verfügbar","Temps réel indisponible","غير متوفر في الوقت الفعلي","Tiempo real no disponible","Tempo reale non disponibile"
"Reason:","Reason:","Grund:","Raison:","سبب:","Razón:","Motivo:"
"Recent Activity","Recent Activity","Letzte Aktivitäten","Activité récente","النشاط الأخير","Actividad reciente","Attività recente"
"Recent Requests","Recent Requests","Letzte Anfragen","Demandes récentes","الطلبات الأخيرة","Solicitudes recientes","Richieste recenti"
"Recent activity","Recent activity","Aktuelle Aktivitäten","Activité récente","النشاط الأخير","Actividad reciente","Attività recente"
"Recovery email","Recovery email","Wiederherstellungs-E-Mail","Courriel de récupération","بريد إلكتروني للاسترداد","Correo electrónico de recuperación","Email di recupero"
"Refresh","Refresh","Aktualisieren","Actualiser","تحديث","Actualizar","Aggiorna"
"Refresh failed","Refresh failed","Aktualisierung fehlgeschlagen","Échec de l'actualisation","فشل التحديث","Falló la actualización","Aggiornamento non riuscito"
"Refreshing…","Refreshing…","Erfrischend…","Rafraîchissant…","منعش…","Refrescante…","Aggiornamento…"
"Refrigeration:","Refrigeration:","Kühlung:","Réfrigération:","تبريد:","Refrigeración:","Refrigerazione:"
"Register Push Notifications","Register Push Notifications","Push-Benachrichtigungen aktivieren","Activer les notifications push","تسجيل الإشعارات الفورية","Registrar notificaciones push","Attiva notifiche push"
"Registering Push...","Registering Push...","Push wird aktiviert...","Activation des notifications...","جارٍ تسجيل الإشعارات...","Registrando notificaciones...","Attivazione notifiche push..."
"Registration failed. Please try again.","Registration failed. Please try again.","Registrierung fehlgeschlagen. Bitte versuchen Sie es erneut.","L'inscription a échoué. Veuillez réessayer.","فشل التسجيل. حاول مرة أخرى.","El registro falló. Inténtalo de nuevo.","Registrazione non riuscita. Riprova."
"Released funds","Released funds","Freigegebene Gelder","Fonds débloqués","الأموال المفرج عنها","Fondos liberados","Fondi rilasciati"
"Remove","Remove","Entfernen","Supprimer","إزالة","Eliminar","Rimuovi"
"Request Details","Request Details","Anfragedetails","Détails de la demande","تفاصيل الطلب","Detalles de la solicitud","Dettagli della richiesta"
"Request Status","Request Status","Anfragestatus","Statut de la demande","حالة الطلب","Estado de la solicitud","Stato della richiesta"
"Request Summary","Request Summary","Anfrageubersicht","Resume de la demande","ملخص الطلب","Resumen de la solicitud","Riepilogo richiesta"
"Request cancelled","Request cancelled","Anfrage storniert","Demande annulée","تم إلغاء الطلب","Solicitud cancelada","Richiesta annullata"
"Request details are incomplete.","Request details are incomplete.","Die Anfragedetails sind unvollständig.","Les détails de la requête sont incomplets.","تفاصيل الطلب غير مكتملة.","Los detalles de la solicitud están incompletos.","I dettagli della richiesta sono incompleti."
"Request not found.","Request not found.","Anfrage nicht gefunden.","Demande introuvable.","لم يتم العثور على الطلب.","Solicitud no encontrada.","Richiesta non trovata."
"Request offers failed: {{value0}}","Request offers failed: {{value0}}","Angebotsanfrage fehlgeschlagen: {{value0}}","Échec de la requête : {{value0}}","فشلت طلبات العروض: {{value0}}","La solicitud de ofertas falló: {{value0}}","Errore nel caricamento delle offerte: {{value0}}"
"Request status failed: {{value0}}","Request status failed: {{value0}}","Anfragestatus fehlgeschlagen: {{value0}}","Échec de la requête : {{value0}}","فشل الطلب: {{value0}}","Estado de la solicitud fallida: {{value0}}","Errore nello stato della richiesta: {{value0}}"
"Request tracking failed: {{value0}}","Request tracking failed: {{value0}}","Fehler bei der Anforderungsverfolgung: {{value0}}","Échec du suivi de la requête : {{value0}}","فشل تتبع الطلب: {{value0}}","Falló el seguimiento de la solicitud: {{value0}}","Errore nel tracciamento della richiesta: {{value0}}"
"Requests","Requests","Anfragen","Demandes","الطلبات","Solicitudes","Richieste"
"Requires dedicated carrier","Requires dedicated carrier","Erfordert einen dedizierten Mobilfunkanbieter.","Nécessite un transporteur dédié","يتطلب ناقلاً مخصصاً","Requiere operador dedicado","Richiede un trasportatore dedicato"
"Requires loading help","Requires loading help","Ladehilfe erforderlich","Nécessite une aide au chargement","يتطلب مساعدة في التحميل","Requiere ayuda para cargar","Richiede assistenza per il carico"
"Requires refrigeration","Requires refrigeration","Kühlung erforderlich","Nécessite une réfrigération","يتطلب التبريد","Requiere refrigeración.","Richiede refrigerazione"
"Requires special wrapping","Requires special wrapping","Erfordert spezielle Verpackung","Nécessite un emballage spécial","يتطلب تغليفًا خاصًا","Requiere un embalaje especial.","Richiede imballaggio speciale"
"Resend code","Resend code","Code erneut senden","Renvoyer le code","إعادة إرسال الرمز","Reenviar código","Invia nuovamente il codice"
"Resend in {{seconds}}s","Resend in {{seconds}}s","Erneut senden in {{seconds}} s","Renvoyer dans {{seconds}} s","إعادة الإرسال خلال {{seconds}} ث","Reenviar en {{seconds}} s","Invia di nuovo tra {{seconds}} s"
"Reserved","Reserved","Reserviert","Réservé","محجوز","Reservado","Riservato"
"Reserved funds","Reserved funds","Reservierte Gelder","Fonds réservés","الأموال المخصصة","fondos reservados","Fondi riservati"
"Reset Password","Reset Password","Passwort zurücksetzen","Réinitialiser le mot de passe","إعادة تعيين كلمة المرور","Restablecer contraseña","Reimposta password"
"Reset your password","Reset your password","Setzen Sie Ihr Passwort zurück","Réinitialisez votre mot de passe","أعد تعيين كلمة المرور الخاصة بك","Restablecer su contraseña","Reimposta la password"
"Retry","Retry","Erneut versuchen","Réessayer","إعادة المحاولة","Reintentar","Riprova"
"Reverse geocoding request failed.","Reverse geocoding request failed.","Die Anfrage zur umgekehrten Geokodierung ist fehlgeschlagen.","La requête de géocodage inverse a échoué.","فشل طلب تحديد الموقع الجغرافي العكسي.","La solicitud de geocodificación inversa ha fallado.","Richiesta di geocodifica inversa non riuscita."
"Review","Review","Rezension","Revoir","مراجعة","Revisar","Riepilogo"
"Review again","Review again","Erneut prüfen","Réviser à nouveau","أعد المراجعة","Revisar de nuevo","Rivedi nuovamente"
"Review your transport request before sending it to drivers.","Review your transport request before sending it to drivers.","Überprüfen Sie Ihre Transportanfrage, bevor Sie sie an die Fahrer senden.","Veuillez vérifier votre demande de transport avant de l'envoyer aux chauffeurs.","راجع طلب النقل الخاص بك قبل إرساله إلى السائقين.","Revise su solicitud de transporte antes de enviarla a los conductores.","Controlla la tua richiesta di trasporto prima di inviarla agli autisti."
"Roadster","Roadster","Roadster","Roadster","رودستر","Coche de turismo","Roadster"
"Route distance:","Route distance:","Streckenlänge:","Distance du trajet :","مسافة المسار:","Distancia de la ruta:","Distanza del percorso:"
"Running vehicle","Running vehicle","Fahrbereit","Véhicule en marche","مركبة عاملة","Vehículo en marcha","Veicolo funzionante"
"S","S","S","S","S","S","S"
"SUV","SUV","SUV","SUV","سيارة رياضية متعددة الاستخدامات","SUV","SUV"
"Save Changes","Save Changes","Änderungen speichern","Enregistrer les modifications","حفظ التغييرات","Guardar cambios","Salva modifiche"
"Saved cards are not used automatically for wallet top-ups in this version.","Saved cards are not used automatically for wallet top-ups in this version.","Gespeicherte Karten werden in dieser Version nicht automatisch für Wallet-Aufladungen verwendet.","Dans cette version, les cartes enregistrées ne sont pas utilisées automatiquement pour recharger le portefeuille.","لا يتم استخدام البطاقات المحفوظة تلقائيًا لإعادة تعبئة المحفظة في هذا الإصدار.","En esta versión, las tarjetas guardadas no se utilizan automáticamente para recargar el monedero.","In questa versione le carte salvate non vengono utilizzate automaticamente per le ricariche del portafoglio."
"Saving details...","Saving details...","Details werden gespeichert...","Enregistrement des détails...","جارٍ حفظ التفاصيل...","Guardando detalles...","Salvataggio dei dettagli..."
"Schedule","Schedule","Zeitplan","Planification","الجدول","Cronograma","Programmazione"
"Schedule for later","Schedule for later","Termin für später","Planifiez pour plus tard","جدولة لاحقاً","Programar para más tarde","Programma per dopo"
"Schedule later","Schedule later","Späteren Termin vereinbaren","Planifiez plus tard","سيتم تحديد الموعد لاحقًا","Programar para más tarde","Programma più tardi"
"Scheduled pickup must be in the future.","Scheduled pickup must be in the future.","Die Abholung muss in der Zukunft erfolgen.","L'enlèvement programmé doit avoir lieu dans le futur.","يجب أن يكون موعد الاستلام في المستقبل.","La recogida programada debe realizarse en el futuro.","Il ritiro programmato deve essere in una data futura."
"Scheduled: {{value}}","Scheduled: {{value}}","Geplant: {{value}}","Prévu : {{value}}","الموعد: {{value}}","Programado: {{value}}","Programmato: {{value}}"
"Scooter","Scooter","Roller","Scooter","سكوتر","Scooter","Scooter"
"Search countries","Search countries","Länder suchen","Rechercher des pays","ابحث عن دولة","Buscar países","Cerca Paese"
"Search dropoff address","Search dropoff address","Abgabeadresse suchen","Rechercher l'adresse de dépôt","ابحث عن عنوان التسليم","Buscar dirección de entrega","Cerca indirizzo di consegna"
"Search for a destination above to pin the dropoff location, or open the app on iOS or Android for full map selection.","Search for a destination above to pin the dropoff location, or open the app on iOS or Android for full map selection.","Suchen Sie oben nach einem Zielort, um den Abholort festzulegen, oder öffnen Sie die App auf iOS oder Android für die vollständige Kartenauswahl.","Recherchez une destination ci-dessus pour épingler le lieu de dépôt, ou ouvrez l'application sur iOS ou Android pour une sélection complète de la carte.","ابحث عن وجهة أعلاه لتحديد موقع التسليم، أو افتح التطبيق على iOS أو Android لاختيار الخريطة الكاملة.","Busque un destino arriba para marcar la ubicación de entrega, o abra la aplicación en iOS o Android para ver el mapa completo.","Cerca una destinazione qui sopra per impostare il luogo di consegna oppure apri l'app su iOS o Android per selezionarlo direttamente sulla mappa."
"Search for an address above to pin the pickup location, or open the app on iOS or Android for full map selection.","Search for an address above to pin the pickup location, or open the app on iOS or Android for full map selection.","Suchen Sie oben nach einer Adresse, um den Abholort festzulegen, oder öffnen Sie die App auf iOS oder Android für die vollständige Kartenauswahl.","Recherchez une adresse ci-dessus pour indiquer le lieu de prise en charge, ou ouvrez l'application sur iOS ou Android pour une sélection complète de la carte.","ابحث عن عنوان أعلاه لتحديد موقع الاستلام، أو افتح التطبيق على iOS أو Android لاختيار الخريطة الكاملة.","Busque una dirección arriba para marcar la ubicación de recogida, o abra la aplicación en iOS o Android para ver el mapa completo.","Cerca un indirizzo qui sopra per impostare il luogo di ritiro oppure apri l'app su iOS o Android per selezionarlo direttamente sulla mappa."
"Search pickup address","Search pickup address","Abholadresse suchen","Rechercher l'adresse de prise en charge","ابحث عن عنوان الاستلام","Buscar dirección de recogida","Cerca indirizzo di ritiro"
"Search...","Search...","Suchen...","Recherche...","يبحث...","Buscar...","Cerca..."
"Sedan","Sedan","Limousine","Sedan","سيارة سيدان","Sedán","Berlina"
"See All","See All","Alle anzeigen","Voir tout","عرض الكل","Ver todo","Vedi tutto"
"See all","See all","Alle anzeigen","Voir tout","عرض الكل","Ver todo","Vedi tutto"
"Select Driver","Select Driver","Treiber auswählen","Sélectionner le conducteur","حدد السائق","Seleccionar conductor","Seleziona autista"
"Select body type","Select body type","Wählen Sie den Karosserietyp aus.","Sélectionnez le type de corps","اختر نوع الجسم","Seleccione el tipo de cuerpo","Seleziona tipo di carrozzeria"
"Select brand","Select brand","Marke auswählen","Sélectionner la marque","اختر العلامة التجارية","Seleccionar marca","Seleziona marca"
"Select condition","Select condition","Bedingung auswählen","Sélectionner la condition","تحديد الشرط","Seleccione una condición","Seleziona condizione"
"Select country","Select country","Land auswählen","Sélectionner un pays","اختر الدولة","Seleccionar país","Seleziona il Paese"
"Select language","Select language","Sprache auswählen","Choisir la langue","اختر اللغة","Seleccionar idioma","Seleziona lingua"
"Select model","Select model","Modell auswählen","Sélectionner le modèle","اختر الطراز","Seleccione el modelo","Seleziona modello"
"Select motorcycle condition","Select motorcycle condition","Motorradzustand auswählen","Sélectionner l'état de la moto","اختر حالة الدراجة النارية","Seleccione el estado de la motocicleta","Seleziona condizioni della moto"
"Select motorcycle type","Select motorcycle type","Motorradtyp auswählen","Sélectionnez le type de moto","اختر نوع الدراجة النارية","Seleccione el tipo de motocicleta","Seleziona tipo di moto"
"Select series","Select series","Serien auswählen","Séries sélectionnées","سلسلة مختارة","Seleccione series","Seleziona serie"
"Select shipment size","Select shipment size","Wählen Sie die Versandgröße.","Sélectionnez la taille de l'envoi","حدد حجم الشحنة","Seleccione el tamaño del envío","Seleziona dimensione della spedizione"
"Select year","Select year","Jahr auswählen","Sélectionnez l'année","اختر السنة","Seleccione el año","Seleziona anno"
"Selected driver","Selected driver","Ausgewählter Fahrer","Conducteur sélectionné","السائق المحدد","Conductor seleccionado","Autista selezionato"
"Selected dropoff location","Selected dropoff location","Ausgewählter Abgabeort","Lieu de dépôt sélectionné","موقع التسليم المحدد","Lugar de entrega seleccionado","Luogo di consegna selezionato"
"Selected dropoff location.","Selected dropoff location.","Ausgewählter Abgabeort.","Lieu de dépôt sélectionné.","موقع التسليم المحدد.","Lugar de entrega seleccionado.","Luogo di consegna selezionato."
"Selected location","Selected location","Ausgewählter Ort","Emplacement sélectionné","الموقع المحدد","Ubicación seleccionada","Posizione selezionata"
"Selected offer","Selected offer","Ausgewähltes Angebot","Offre sélectionnée","عرض مختار","Oferta seleccionada","Offerta selezionata"
"Send","Send","Senden","Envoyer","أرسل","Enviar","Invia"
"Send Reset Link","Send Reset Link","Link senden","Envoyer le lien","إرسال رابط إعادة التعيين","Enviar enlace","Invia link di reimpostazione"
"Send reset link","Send reset link","Link zum Zurücksetzen senden","Envoyer le lien de réinitialisation","إرسال رابط إعادة التعيين","Enviar enlace de reinicio","Invia link di reimpostazione"
"Send verification code","Send verification code","Bestätigungscode senden","Envoyer le code de vérification","إرسال رمز التحقق","Enviar código de verificación","Invia codice di verifica"
